,country,date,unemployment,monthly,inflation,economy
0,US,2022-03-01,86,2022-03-01,,
1,US,2022-03-01,86,2022-03-01,49.0,
2,US,2022-03-02,79,2022-03-01,,
3,US,2022-03-02,79,2022-03-01,63.0,
4,US,2022-03-03,75,2022-03-01,,
5,US,2022-03-03,75,2022-03-01,51.0,
6,US,2022-03-04,76,2022-03-01,,
7,US,2022-03-04,76,2022-03-01,49.0,
8,US,2022-03-05,40,2022-03-01,,
9,US,2022-03-05,40,2022-03-01,44.0,
10,US,2022-03-06,60,2022-03-01,,
11,US,2022-03-06,60,2022-03-01,47.0,
12,US,2022-03-07,92,2022-03-01,,
13,US,2022-03-07,92,2022-03-01,63.0,
14,US,2022-03-08,80,2022-03-01,,
15,US,2022-03-08,80,2022-03-01,62.0,
16,US,2022-03-09,81,2022-03-01,,
17,US,2022-03-09,81,2022-03-01,60.0,
18,US,2022-03-10,75,2022-03-01,,
19,US,2022-03-10,75,2022-03-01,100.0,
20,US,2022-03-11,64,2022-03-01,,
21,US,2022-03-11,64,2022-03-01,75.0,
22,US,2022-03-12,36,2022-03-01,,
23,US,2022-03-12,36,2022-03-01,58.0,
24,US,2022-03-13,61,2022-03-01,,
25,US,2022-03-13,61,2022-03-01,48.0,
26,US,2022-03-14,91,2022-03-01,,
27,US,2022-03-14,91,2022-03-01,61.0,
28,US,2022-03-15,78,2022-03-01,,
29,US,2022-03-15,78,2022-03-01,55.0,
30,US,2022-03-16,75,2022-03-01,,
31,US,2022-03-16,75,2022-03-01,61.0,
32,US,2022-03-17,65,2022-03-01,,
33,US,2022-03-17,65,2022-03-01,53.0,
34,US,2022-03-18,56,2022-03-01,,
35,US,2022-03-18,56,2022-03-01,49.0,
36,US,2022-03-19,33,2022-03-01,,
37,US,2022-03-19,33,2022-03-01,39.0,
38,US,2022-03-20,54,2022-03-01,,
39,US,2022-03-20,54,2022-03-01,41.0,
40,US,2022-03-21,100,2022-03-01,,
41,US,2022-03-21,100,2022-03-01,53.0,
42,US,2022-03-22,78,2022-03-01,,
43,US,2022-03-22,78,2022-03-01,52.0,
44,US,2022-03-23,71,2022-03-01,,
45,US,2022-03-23,71,2022-03-01,47.0,
46,US,2022-03-24,66,2022-03-01,,
47,US,2022-03-24,66,2022-03-01,47.0,
48,US,2022-03-25,62,2022-03-01,,
49,US,2022-03-25,62,2022-03-01,47.0,
50,US,2022-03-26,32,2022-03-01,,
51,US,2022-03-26,32,2022-03-01,36.0,
52,US,2022-03-27,56,2022-03-01,,
53,US,2022-03-27,56,2022-03-01,39.0,
54,US,2022-03-28,68,2022-03-01,,
55,US,2022-03-28,68,2022-03-01,48.0,
56,US,2022-03-29,69,2022-03-01,,
57,US,2022-03-29,69,2022-03-01,48.0,
58,US,2022-03-30,67,2022-03-01,,
59,US,2022-03-30,67,2022-03-01,49.0,
60,US,2022-03-31,64,2022-03-01,,
61,US,2022-03-31,64,2022-03-01,51.0,
62,US,2022-04-01,62,2022-04-01,,
63,US,2022-04-01,62,2022-04-01,49.0,
64,US,2022-03-01,86,2022-03-01,,
65,US,2022-03-01,86,2022-03-01,49.0,
66,US,2022-03-02,79,2022-03-01,,
67,US,2022-03-02,79,2022-03-01,63.0,
68,US,2022-03-03,75,2022-03-01,,
69,US,2022-03-03,75,2022-03-01,51.0,
70,US,2022-03-04,76,2022-03-01,,
71,US,2022-03-04,76,2022-03-01,49.0,
72,US,2022-03-05,40,2022-03-01,,
73,US,2022-03-05,40,2022-03-01,44.0,
74,US,2022-03-06,60,2022-03-01,,
75,US,2022-03-06,60,2022-03-01,47.0,
76,US,2022-03-07,92,2022-03-01,,
77,US,2022-03-07,92,2022-03-01,63.0,
78,US,2022-03-08,80,2022-03-01,,
79,US,2022-03-08,80,2022-03-01,62.0,
80,US,2022-03-09,81,2022-03-01,,
81,US,2022-03-09,81,2022-03-01,60.0,
82,US,2022-03-10,75,2022-03-01,,
83,US,2022-03-10,75,2022-03-01,100.0,
84,US,2022-03-11,64,2022-03-01,,
85,US,2022-03-11,64,2022-03-01,75.0,
86,US,2022-03-12,36,2022-03-01,,
87,US,2022-03-12,36,2022-03-01,58.0,
88,US,2022-03-13,61,2022-03-01,,
89,US,2022-03-13,61,2022-03-01,48.0,
90,US,2022-03-14,91,2022-03-01,,
91,US,2022-03-14,91,2022-03-01,61.0,
92,US,2022-03-15,78,2022-03-01,,
93,US,2022-03-15,78,2022-03-01,55.0,
94,US,2022-03-16,75,2022-03-01,,
95,US,2022-03-16,75,2022-03-01,61.0,
96,US,2022-03-17,65,2022-03-01,,
97,US,2022-03-17,65,2022-03-01,53.0,
98,US,2022-03-18,56,2022-03-01,,
99,US,2022-03-18,56,2022-03-01,49.0,
100,US,2022-03-19,33,2022-03-01,,
101,US,2022-03-19,33,2022-03-01,39.0,
102,US,2022-03-20,54,2022-03-01,,
103,US,2022-03-20,54,2022-03-01,41.0,
104,US,2022-03-21,100,2022-03-01,,
105,US,2022-03-21,100,2022-03-01,53.0,
106,US,2022-03-22,78,2022-03-01,,
107,US,2022-03-22,78,2022-03-01,52.0,
108,US,2022-03-23,71,2022-03-01,,
109,US,2022-03-23,71,2022-03-01,47.0,
110,US,2022-03-24,66,2022-03-01,,
111,US,2022-03-24,66,2022-03-01,47.0,
112,US,2022-03-25,62,2022-03-01,,
113,US,2022-03-25,62,2022-03-01,47.0,
114,US,2022-03-26,32,2022-03-01,,
115,US,2022-03-26,32,2022-03-01,36.0,
116,US,2022-03-27,56,2022-03-01,,
117,US,2022-03-27,56,2022-03-01,39.0,
118,US,2022-03-28,68,2022-03-01,,
119,US,2022-03-28,68,2022-03-01,48.0,
120,US,2022-03-29,69,2022-03-01,,
121,US,2022-03-29,69,2022-03-01,48.0,
122,US,2022-03-30,67,2022-03-01,,
123,US,2022-03-30,67,2022-03-01,49.0,
124,US,2022-03-31,64,2022-03-01,,
125,US,2022-03-31,64,2022-03-01,51.0,
126,US,2022-04-01,62,2022-04-01,,
127,US,2022-04-01,62,2022-04-01,49.0,
128,US,2022-03-01,86,2022-03-01,,86.0
129,US,2022-03-01,86,2022-03-01,49.0,86.0
130,US,2022-03-02,79,2022-03-01,,84.0
131,US,2022-03-02,79,2022-03-01,63.0,84.0
132,US,2022-03-03,75,2022-03-01,,89.0
133,US,2022-03-03,75,2022-03-01,51.0,89.0
134,US,2022-03-04,76,2022-03-01,,81.0
135,US,2022-03-04,76,2022-03-01,49.0,81.0
136,US,2022-03-05,40,2022-03-01,,63.0
137,US,2022-03-05,40,2022-03-01,44.0,63.0
138,US,2022-03-06,60,2022-03-01,,67.0
139,US,2022-03-06,60,2022-03-01,47.0,67.0
140,US,2022-03-07,92,2022-03-01,,93.0
141,US,2022-03-07,92,2022-03-01,63.0,93.0
142,US,2022-03-08,80,2022-03-01,,84.0
143,US,2022-03-08,80,2022-03-01,62.0,84.0
144,US,2022-03-09,81,2022-03-01,,86.0
145,US,2022-03-09,81,2022-03-01,60.0,86.0
146,US,2022-03-10,75,2022-03-01,,86.0
147,US,2022-03-10,75,2022-03-01,100.0,86.0
148,US,2022-03-11,64,2022-03-01,,73.0
149,US,2022-03-11,64,2022-03-01,75.0,73.0
150,US,2022-03-12,36,2022-03-01,,60.0
151,US,2022-03-12,36,2022-03-01,58.0,60.0
152,US,2022-03-13,61,2022-03-01,,53.0
153,US,2022-03-13,61,2022-03-01,48.0,53.0
154,US,2022-03-14,91,2022-03-01,,68.0
155,US,2022-03-14,91,2022-03-01,61.0,68.0
156,US,2022-03-15,78,2022-03-01,,72.0
157,US,2022-03-15,78,2022-03-01,55.0,72.0
158,US,2022-03-16,75,2022-03-01,,64.0
159,US,2022-03-16,75,2022-03-01,61.0,64.0
160,US,2022-03-17,65,2022-03-01,,62.0
161,US,2022-03-17,65,2022-03-01,53.0,62.0
162,US,2022-03-18,56,2022-03-01,,63.0
163,US,2022-03-18,56,2022-03-01,49.0,63.0
164,US,2022-03-19,33,2022-03-01,,49.0
165,US,2022-03-19,33,2022-03-01,39.0,49.0
166,US,2022-03-20,54,2022-03-01,,51.0
167,US,2022-03-20,54,2022-03-01,41.0,51.0
168,US,2022-03-21,100,2022-03-01,,65.0
169,US,2022-03-21,100,2022-03-01,53.0,65.0
170,US,2022-03-22,78,2022-03-01,,63.0
171,US,2022-03-22,78,2022-03-01,52.0,63.0
172,US,2022-03-23,71,2022-03-01,,63.0
173,US,2022-03-23,71,2022-03-01,47.0,63.0
174,US,2022-03-24,66,2022-03-01,,63.0
175,US,2022-03-24,66,2022-03-01,47.0,63.0
176,US,2022-03-25,62,2022-03-01,,80.0
177,US,2022-03-25,62,2022-03-01,47.0,80.0
178,US,2022-03-26,32,2022-03-01,,48.0
179,US,2022-03-26,32,2022-03-01,36.0,48.0
180,US,2022-03-27,56,2022-03-01,,54.0
181,US,2022-03-27,56,2022-03-01,39.0,54.0
182,US,2022-03-28,68,2022-03-01,,100.0
183,US,2022-03-28,68,2022-03-01,48.0,100.0
184,US,2022-03-29,69,2022-03-01,,96.0
185,US,2022-03-29,69,2022-03-01,48.0,96.0
186,US,2022-03-30,67,2022-03-01,,64.0
187,US,2022-03-30,67,2022-03-01,49.0,64.0
188,US,2022-03-31,64,2022-03-01,,90.0
189,US,2022-03-31,64,2022-03-01,51.0,90.0
190,US,2022-04-01,62,2022-04-01,,83.0
191,US,2022-04-01,62,2022-04-01,49.0,83.0
